Company,Price,change,Percent Change,Market Cap
iRobot Corporation,46.51,+0.49,+1.06%,1.315B
"PC Connection, Inc.",47.93,-1.48,-3.00%,1.261B
Bandwidth Inc.,52.83,+0.36,+0.69%,1.241B
Opera Limited,10.14,+0.43,+4.43%,1.194B
"Benchmark Electronics, Inc.",32.57,+0.01,+0.03%,1.202B
Infinera Corporation,6.41,-0.10,-1.54%,1.159B
Formula Systems (1985) Ltd.,72.20,+0.50,+0.70%,1.087B
MTS Systems Corporation,58.17,+0.07,+0.12%,1.125B
ePlus inc.,82.70,-0.62,-0.74%,1.118B
Radware Ltd.,23.66,+0.29,+1.24%,1.111B
Loral Space & Communications Inc.,33.86,-0.02,-0.06%,1.047B
3D Systems Corporation,8.75,+0.13,+1.51%,1.036B
SunPower Corporation,7.20,+0.05,+0.70%,1.027B
Stratasys Ltd.,18.69,+0.14,+0.75%,1.017B
"Mesa Laboratories, Inc.",231.30,+5.10,+2.25%,1.01B
"Plantronics, Inc.",24.90,+0.54,+2.22%,993.903M
"Ebix, Inc.",32.53,+0.84,+2.65%,992.022M
"Model N, Inc.",29.54,-0.70,-2.31%,974.675M
Celestica Inc.,7.57,-0.03,-0.39%,973.388M
Nova Measuring Instruments Ltd.,34.12,-0.32,-0.93%,952.716M
Xperi Corporation,19.05,-0.52,-2.66%,943.781M
QAD Inc.,48.00,-0.12,-0.25%,937.109M
TiVo Corporation,7.37,+0.26,+3.66%,933.359M
QAD Inc.,35.90,0.00,0.00%,931.695M
Materialise NV,17.41,+0.13,+0.75%,920.829M
SecureWorks Corp.,11.23,-0.03,-0.27%,911.903M
"ScanSource, Inc.",35.17,-0.17,-0.48%,888.609M
Canadian Solar Inc.,14.92,+0.14,+0.95%,884.17M
CTS Corporation,26.89,+0.39,+1.47%,876.665M
Comtech Telecommunications Corp.,36.24,+0.25,+0.69%,883.129M
"Vivint Solar, Inc.",6.97,+0.50,+7.73%,850.953M
Sunnova Energy International Inc.,10.13,-0.26,-2.50%,850.726M
"FARO Technologies, Inc.",48.83,+0.31,+0.64%,849.842M
"21Vianet Group, Inc.",7.51,-0.01,-0.13%,844.071M
ChipMOS TECHNOLOGIES INC.,22.76,-0.34,-1.47%,847.453M
"Ultra Clean Holdings, Inc.",20.78,-0.18,-0.88%,827.165M
"Extreme Networks, Inc.",6.65,+0.13,+1.99%,808.421M
Universal Electronics Inc.,55.53,-0.56,-1.00%,773.433M
"Photronics, Inc.",11.35,-0.11,-0.92%,763.02M
"JinkoSolar Holding Co., Ltd.",17.29,-0.17,-0.97%,758.435M
"NETGEAR, Inc.",24.94,-0.61,-2.39%,751.879M
"SMART Global Holdings, Inc.",31.20,+0.15,+0.48%,740.897M
"nLIGHT, Inc.",19.49,-0.47,-2.35%,735.925M
Harmonic Inc.,8.00,+0.01,+0.13%,722.745M
"Impinj, Inc.",32.53,-0.30,-0.91%,719.834M
"Cohu, Inc.",17.40,+0.18,+1.05%,718.035M
"i3 Verticals, Inc.",26.13,+3.83,+17.17%,714.606M
Unisys Corporation,11.12,+0.34,+3.15%,693.829M
Maxar Technologies Inc.,11.33,+0.33,+3.00%,676.907M
"Vocera Communications, Inc.",21.41,+0.13,+0.61%,674.111M
"Axcelis Technologies, Inc.",20.72,-0.34,-1.61%,671.765M
AudioCodes Ltd.,22.76,-0.02,-0.09%,663.54M
"Ichor Holdings, Ltd.",29.50,-1.22,-3.97%,663.597M
Veeco Instruments Inc.,13.51,-0.30,-2.17%,660.68M
Huami Corporation,10.07,-0.36,-3.45%,617.203M
"Viomi Technology Co., Ltd",8.90,-1.03,-10.37%,616.474M
Tufin Software Technologies Ltd.,17.46,-0.02,-0.11%,598.798M
"Agilysys, Inc.",25.14,-0.13,-0.51%,594.775M
"Diebold Nixdorf, Incorporated",7.39,-0.20,-2.64%,567.505M
"CEVA, Inc.",25.75,+0.26,+1.02%,566.317M
Cerence Inc.,15.04,+0.24,+1.62%,547.327M
Digi International Inc.,18.42,+0.27,+1.49%,518.415M
"A10 Networks, Inc.",6.59,-0.12,-1.79%,506.234M
Daqo New Energy Corp.,37.82,+0.08,+0.21%,502.295M
Magic Software Enterprises Ltd.,10.27,+0.10,+0.98%,507.474M
"American Software, Inc.",15.93,-0.49,-2.98%,499.67M
"PDF Solutions, Inc.",15.20,-0.08,-0.52%,491.723M
Ituran Location and Control Ltd.,23.32,-0.43,-1.81%,490.678M
PAR Technology Corporation,30.00,-0.38,-1.25%,490.362M
Gilat Satellite Networks Ltd.,8.36,+0.06,+0.72%,463.489M
"The Hackett Group, Inc.",15.26,-0.02,-0.13%,456.222M
"Vishay Precision Group, Inc.",33.16,-0.12,-0.36%,448.419M
Weidai Ltd.,6.10,-0.30,-4.69%,429.728M
"ADTRAN, Inc.",8.80,+0.15,+1.73%,420.871M
"Calix, Inc.",7.58,+0.03,+0.40%,420.61M
MagnaChip Semiconductor Corporation,11.90,+0.26,+2.23%,409.606M
Zix Corporation,7.34,+0.03,+0.41%,409.148M
Inseego Corp.,5.05,+0.08,+1.61%,404.159M
Digimarc Corporation,31.97,-0.34,-1.05%,397.323M
NeoPhotonics Corporation,8.11,-0.08,-0.98%,391.235M
"Telaria, Inc.",8.22,+0.10,+1.23%,382.82M
CooTek (Cayman) Inc.,5.65,+0.15,+2.73%,359.372M
Rosetta Stone Inc.,14.70,+0.15,+1.03%,353.678M
CalAmp Corp.,10.40,+0.11,+1.07%,354.851M
Brightcove Inc.,8.96,-0.03,-0.33%,347.655M
"Sierra Wireless, Inc.",8.91,+0.30,+3.48%,323.09M
"DSP Group, Inc.",13.92,-0.09,-0.64%,320.217M
"Daktronics, Inc.",6.73,+0.02,+0.30%,302.522M
Allot Ltd.,8.53,-0.05,-0.58%,293.023M
Alpha and Omega Semiconductor Limited,11.58,+0.23,+2.03%,284.324M
MiX Telematics Limited,12.12,+0.13,+1.08%,267.147M
Hamilton Beach Brands Holding Company,19.66,+0.36,+1.87%,265.74M
"Telenav, Inc.",5.44,+0.07,+1.30%,264.2M
ChannelAdvisor Corporation,9.00,0.00,0.00%,252.529M
Silicom Ltd.,32.55,+0.82,+2.58%,246.083M
Immersion Corporation,7.07,-0.01,-0.14%,224.796M
"KVH Industries, Inc.",11.00,+0.04,+0.36%,199.063M
Bel Fuse Inc.,15.85,-0.37,-2.28%,188.938M
Bel Fuse Inc.,12.85,-0.70,-5.17%,183.361M
"GSI Technology, Inc.",7.30,-0.02,-0.34%,168.347M
"PCTEL, Inc.",8.55,-0.05,-0.58%,158.879M
LSI Industries Inc.,5.32,-0.04,-0.75%,138.883M
TESSCO Technologies Incorporated,11.47,-0.27,-2.30%,98.043M
"Computer Task Group, Incorporated",5.67,+0.09,+1.61%,83.351M
"Amtech Systems, Inc.",5.75,+0.04,+0.70%,82.036M
"Aviat Networks, Inc.",14.00,+0.04,+0.29%,75.976M
"Richardson Electronics, Ltd.",5.54,-0.06,-1.07%,61.103M
"Mitcham Industries, Inc.",23.99,-0.41,-1.68%,45.221M
SITIME CORP,18.05,-0.60,-3.22%,N/A
CANAAN INC.,8.98,-0.01,-0.11%,N/A
Broadcom Inc.,"1,154.06",-1.81,-0.16%,N/A
